,CILUBA,French,Score,Sentiment,Nature,English,Zulu,Afrikaans,Sepedi,Xhosa,Shona
2724,Musangu,Oreiller,6.0,postive,Mot,Pillow,Iphilo,Kussing,Mosamelo,Umqamelo,Pilo
2725,Vunda_vunda,Tourbillon,6.0,postive,Mot,Whirlwind,Shirlwind,Warrelwind,Ledimo la ledimo .,I-whirlwind,Chimbudzi
2726,Nvula,Pluie,6.0,postive,Mot,Rain,Imvula,Reën,Pula,Imvula,Kunaya
2727,Bihu,punaise,6.0,postive,Mot,thumbtack,I-Thumbtack,duimstok,Thumbtack .,thlock,Thumbnack
2728,Songakaji,Fille,6.0,postive,Mot,Girl,Intombi,Meisie,Mosetsana,Intombazana,Musikana
2729,Songaluma,Garçon,6.0,postive,Mot,Boy,Umfana,Seuntjie,Mošemane,Inkwenkwe,Mukomana
2730,Tante,tatumukaji,6.0,postive,Mot,tatumukaji,tatumukaji,tatumukaji,Tatumukaji .,Tatumukaji,Tatiumukaji
2731,Faire,kuenza,6.0,postive,Mot,kuenza,Kuniza,koeenza,Kuenza .,kuenza,Kuenza
2732,Menyi,Pipi,6.0,postive,Mot,Pee,Okokuphangwa uvalo,Piepie,Rota,Pee,Pee
2733,Merci,Tuasakadila,6.0,postive,Mot,Tuasakadila,Tuasakadila,Tuasakadila,Tuasakadila .,I-tuasakadila,Tuasakadila
2734,Kulala,Dormir,6.0,postive,Verbe,Sleep,Ukulala,Slaap,Robala,Ukulala,Kurara
2735,Tuta,Frappe,6.0,postive,Mot,Struck,-Gwashisayo,Geslaan,Bethilwe,Wabetha,Akarova
2736,Kunyungulaka,Tourner,6.0,postive,Verbe,Turn,Phenduka,Draai,Fetoga,Jika,Tendeuka
2737,Bala,Lis,6.0,postive,Mot,Read,Funda,Lees,Bala,Funda,Verenga
2738,Udia,Mange,6.0,postive,Mot,Eaten,Udleke,Geëet,E jelwe .,Ityiwe,Kudyiwa
2739,Usama,Malade,-8.0,negative,Mot,Sick,-Ngaphilile,Siek,Lwala,Ndiyagula,Kurwara
2740,Ufua,Mort,-8.0,negative,Mot,Dead,-Fileyo,Dood,Hlokofetše,Ufile,Akafa
2741,Mufua,Décédée,-8.0,negative,Mot,Deceased,-Shonileyo,Oorlede,Mohu,Nkcizi,Akafa
2742,Lusa,Pitier,-8.0,negative,Verbe,Pity,Umunyu,Jammer,Kwelobohloko,Nceba,Tsitsi
2743,Nkenena,Fourmis,2.0,postive,Mot,Ants,Amashefa,Miere,Ditšhošwane .,Iimbovane,Masvosve
2744,Kanyunyi,Oiseau,2.0,postive,Mot,Bird,Inyoni,Voël,Nonyana,Intaka,Shiri
2745,Kabuluku,Fou,2.0,postive,Mot,Mad,Phambeneyo,Mal,Gafa,Hlanya,Kupenga
2746,Musedibua,Marier,2.0,postive,Verbe,Marry,Gcagca,Trou,Nyala .,Tshata,Roora
2747,Mulobi,Péchère,2.0,postive,Mot,Sinful,-Okona,Sondig,Sebe sa sebe .,Inesono,Zvivi
2748,Mumbembela,Agame,2.0,postive,Mot,Agame,Vamema,Agame,Agame .,I-agame,Agame
2749,Nkunda,Arrigo,2.0,postive,Mot,Arrigo,-Vutha,Arrigo,Arrigo .,Ifigo,Arrigo
2750,Lukonyonyo,Camelon,2.0,postive,Mot,Camelon,UCamelononi,Kamelon,Camelon .,I-bizelon,Camelon
2751,Impolie,Mukolabibi,2.0,postive,Mot,Mukolabibi,Mukolabibi,Mukolabibi,M u k u k l abibi .,Mukolabibi,Mukolabi
2752,Conseil,Mubelu,2.0,postive,Mot,Mubelu,IMubelu,Mubelu,Mubelu .,Mubhalu,Mubelu
2753,Conseiller,Kubela,2.0,postive,Mot,Kubela,Kubela,Kubela,K l l a s .,Kuube,Kuubla
2754,Cordonne,Lombola,2.0,postive,Mot,Lombola,Imoto empini,Lombola,Lombola .,Lopoti,Lombola
2755,Coordinateur,Mulombodi,2.0,postive,Mot,Mulombodi,Mulombodi,Mulombodi,Mulombodi .,Mulodi,Mulombodi
2756,Moyi,Ceour,2.0,postive,Mot,Heart,Inhliziyo,Hart,Pelo,Intliziyo,Moyo
2757,Moyahu,Salut,2.0,postive,Mot,Hi,Sibhabhanyo ngo,Hallo,Thobela,Mholo,Mhoro
2758,Wetuahu,Bonjour,2.0,postive,Mot,Good morning,Sawubona,Goeie môre,Thobela,Mholo,Mangwanani akanaka
2759,Butaka,Sexe,2.0,postive,Mot,Sex,Ubulili,Seks,Thobalano .,Isondo,Bonde
2760,Mukanda,Livre,2.0,postive,Mot,Book,Ibhuku,Boek,Puku,Incwadi,Bhuku
2761,Butandanla,Connexion,2.0,postive,Mot,Connection,Isihlobo,Verbinding,Kgokagano .,Uqhagamshelo,Kubatana
2762,Kohua,pendre,2.0,postive,Verbe,hang,zula,hang,ikgama,hang,hang
2763,Kale,Étrangler,2.0,postive,Verbe,Strangle,Klinya emphinjeni,Wurg,Kgama .,I-strangle,Strangle
2764,Kalulu,Lapin,2.0,postive,Mot,Rabbit,Unogwaja,Konyn,Mmutla,Umvundla,Tsuro
2765,Dikalu,Vélo,2.0,postive,Mot,Bike,Ibhanoyi,Fiets,Paesekela,Ibhayisekile,Bhasikoro
2766,Véhicule,Machine,2.0,postive,Mot,Machine,Umshini,Masjien,Motšhene,Umatshini,Muchina
2767,Ciyi,Court,2.0,postive,Mot,Short,-Fushane,Kort,Kopana,Mfutshane,Pfupi
2768,Cileha,Géant,2.0,postive,Mot,Giant,Isiqhwagi,Reus,Lekgema,Giant,Hofori
2769,Bowa,Peur,-7.0,negative,Mot,Fear,Ukwesaba,Vrees,Tšhoga,Uloyiko,Kutya
2770,Boowa,Champignons,3.0,postive,Mot,Mushrooms,Amakhowe,Sampioene,Di-mushroom .,Amakhowa,Howa
2771,Diba,Heure,3.0,postive,Mot,Hour,Ihora,Uur,Iri,Yure,Awa
2772,Kaheji,Saboté,3.0,postive,Mot,Sabotaged,-Chithiwe,Gesaboteer,Sabotaged .,I-sabotiment,Sabotday
2773,Mukana,Bouche,3.0,postive,Mot,Mouth,Umlomo,Mond,Molomo,Umlomo,Muromo
2774,Dingeya,Mangue,3.0,postive,Mot,Mango,i-Mango,Mango,Mango .,imango,Mango
2775,Udi,Il,0.0,neutral,Mot,He,Yena,Hy,Yena,Yena,Iye
2776,Nous,Tuetu,0.0,neutral,Mot,tuetu,tuetu,tuetu,Tuetu .,tuetu,tuetu
2777,Bunyi,Quantité,0.0,neutral,Mot,Quantity,Ubuningi,Hoeveelheid,Bontši,Ubungakanani,Kuwanda
2778,NtaMbua,lion,3.0,postive,Mot,lion,ingonyama,leeu,tau,ingonyama,shumba
2779,Soku,Singe,3.0,postive,Mot,Monkey,Inkawu,Aap,Kgabo,Inkawu,Monkey
2780,Zevu,Elephant,3.0,postive,Mot,Elephant,Indlovu,Olifant,Tlou,Elephants,Nzou
2781,Mulangi,bouteille,3.0,postive,Mot,bottle,ibhodlela,bottel,lebotlelo,ibhotile,bhodhoro
2782,Muela,Machette,3.0,postive,Mot,Machete,-Edwala,Machete,Machete .,I-machete,Machete
2783,Kasuyi,Hache,3.0,postive,Mot,Ax,Izenube,Byl,Selepe .,I-ax,Demo
2784,Tshasu,Bêche,3.0,postive,Mot,Spade,Ukhuni,Graaf,Spade .,Spade,Spade
2785,Nteta,Bâche,3.0,postive,Mot,Tarpaulin,I-tarpaulin,Seil,Tarpaulin .,I-tarpaulin,Tarpauluin
2786,Bulalu,Moussa,3.0,postive,Mot,Moussa,MOSSA,Moussa,Moussa .,Moussa,Moussa
2787,Kuhenda,Injurier,1.0,postive,Verbe,Insult,Eyisa,Belediging,Maroga,Ukuthuka,Kutuka
2788,Kutata,Tamiser,8.0,postive,Verbe,Sieve,Luswano,Sif,Sefe .,Sieve,Sieve
2789,Lala,Dors,4.0,postive,Mot,Sleep,Ukulala,Slaap,Robala,Ukulala,Kurara
2790,Anu,Seulement,3.0,postive,Mot,Only,Kuphela,Slegs,Fela,Kuphela,Chete
2791,Ndi,je,0.0,neutral,Mot,I,Mina,ek,nna,I,I
2792,Udi,tu,0.0,neutral,Mot,you,nina,jy,wena,wena,iwe
2793,yeya,il,0.0,neutral,Mot,he,yena,hy,yena,yena,Iye
2794,nenu,vous,0.0,neutral,Mot,YOU,Nina,JY,WENA,Wena,Iwe
2795,bobu,ils,0.0,neutral,Mot,they,bona,hulle,bona,bona,ivo
2796,mema,moi,0.0,neutral,Mot,Me,Mina,Ek,Nna,Mna,Ini
2797,wewa,toi,0.0,neutral,Mot,You,Nina,Jy,Wena,Wena,Iwe
2798,yeya,lui,0.0,neutral,Mot,him,yena,hom,yena,yena,iye
2799,Tshia,de,0.0,neutral,Mot,of,iwa-,van,ya,ye,of
2800,Ndine,j'ai,0.0,neutral,Verbe,I have,Nginayo,Ek het,ke na le,Ndine,Ndine
2801,Udine,tuas,0.0,neutral,Verbe,you have,unayo,jy het,o na le .,unayo,une
2802,uudine,ila,0.0,neutral,Verbe,he has,unayo,hy het,o na,une,ane
2803,Tudine,ellea,0.0,neutral,Verbe,she has,une,sy het,o na,une,Ane
2804,Nudine,nousavons,0.0,neutral,Verbe,We have,Sine,Ons het,Re na le .,Si,Tine
2805,badine,vousavez,0.0,neutral,Verbe,you have,unayo,jy het,o na le .,unayo,une
2806,Tshiabu,poureux,0.0,neutral,Mot,for two,Kwababili,vir twee,bakeng sa ba babedi .,kuba zimbini,kune maviri
2807,ni,et,0.0,neutral,Mot,And,Na-,En,Le,Kwaye,Uye
2808,walukunukunu,zélateur,-2.0,negative,Mot,zealot,iteloki,yweraar,Zealot .,i-zealot,Zealot
2809,waludimilupepele,eloquant,7.0,postive,Mot,eloquent,-nendlu enobuhlakani,welsprekend,Go bolela ka go lebanya .,onobuchule,eloquent
2810,wakupetula,méprisable,-3.0,negative,Mot,contemptible,-delelekayo,veragtelik,Go nyatša .,Ukudandatheka,zvinonyangadza
2811,wakumudilu,premier,5.0,postive,Mot,first,-yinhloko,eerste,mathomo,Ekuqaleni,chekutanga
2812,wakubanda,passible,5.0,postive,Mot,liable,-nokubekwa icala,aanspreeklik,Boikarabelo .,unoxanduva,zvine mhosva
2813,wabutumbi,honorable,8.0,postive,Mot,honorable,-nokuhlonishwa,eerbaar,Mohlomphegi .,ehlonelayo,kukudzwa
2814,wabute,ainé,6.0,postive,Mot,elder,omdala,ouderling,motšofe,umdala,mukoma
2815,wabungi,affectueusement,6.0,postive,Mot,affectionately,-nothando,liefdevol,Ka lerato .,Unothando,rudo
2816,wabende,etranger,0.0,neutral,Mot,stranger,umufo,vreemdeling,moeng,umntu ongamaziyo,Stranger
2817,wabalume,mâle,0.0,neutral,Mot,male,owesilisa,manlik,monna,oyindoda,murume
2818,wadikamakama,audacieux,-2.0,negative,Mot,bold,-nesibindi,vetgedruk,bokoto,ngesibindi,takashinga
2819,Utshidikamana,chaste,6.0,postive,Mot,chaste,umsulwa,kuis,Go hlweka .,chaste,Chete
2820,utshienawaluisha,nourisson,0.0,neutral,Mot,infant,usana,baba,lesea,usana,mucheche
2821,utema/kapia,brulant,0.0,neutral,Mot,burning,-vulayo,brand,Go fiša .,ukutshisa,kupisa
2822,Uttema,ardent,0.0,neutral,Mot,ardent,-ngecebo,vurig,Ardent .,inqaku,akajaira
2823,Utamba,surabondant,7.0,postive,Mot,superabundant,-phezulu,oorvloedig,Se se nago le matla a magolo kudu .,thambisa,Superabandant
2824,unakila,perseverant,7.0,postive,Mot,persevering,wabaphakelayo,volhardend,Go phegelela .,ukunyamezela,Kutsungirira
2825,umuepele,unique,0.0,neutral,Mot,unique,-hlukile,uniek,moswananoši,eyahlukileyo,akasiyana
2826,ukungula,rugissant,0.0,neutral,Mot,roaring,bhosa,brul,Go rora .,ukugquma,kuhukura
2827,ufuafua,murant,-5.0,negative,Mot,walling,izintambo,ommuur,Walling .,udonga,Walling
2828,uzakala,tramblant,0.0,neutral,Mot,tremblant,ngokubabaza,bewend,Tremblant .,ukuqhekeza,thai
2829,udiusanka,joyeux,6.0,postive,Mot,happy,-eneme,gelukkig,thabile,ndonwabile,kufara
2830,udiusama,malade,-1.0,negative,Mot,sick,-ngaphilile,siek,lwala,ndiyagula,kurwara
2831,UdiulondantedeluwabuenaYuda,erosélyte,3.0,postive,Mot,eroselyte,ukucekela phansi,erosiet,Eroselyte .,i-eroselyte,Eroselyte
2832,Udiukenga/utata,affligé,-2.0,negative,Mot,distressed,-nobuhlungu,benoud,O tlamegile .,ixinezelekile,kushungurudzika
2833,udiudisuila,volontaire,3.0,postive,Mot,voluntary,-ngokuzinikela,vrywillig,Boithaopo .,ngokuzithandela,nokuzvidira
2834,udipabuipi,voisin,0.0,neutral,Mot,neighbor,umakhelwane,buurman,moagišani,Ummelwane,muvakidzani
2835,udinemoyo,vivant,0.0,neutral,Mot,alive,-zwayo,lewendig,phela,uyaphila,vapenyu
2836,udinemanyi,Gras,0.0,neutral,Mot,Fat,Amafutha,Vet,Lekhura,Amanqatha,Mafuta
2837,udinelutulu,patient,1.0,postive,Mot,patient,-nesineke,pasiënt,molwetši,isigulana,murwere
2838,udinelumulunene,distingué,4.0,postive,Mot,distinguished,dilicaged,onderskei,E hlomphega .,ukwahlula-hlula,kusiyaniswa
2839,udinedilamatu,fidele,3.0,postive,Mot,faithful,-thembekile,getrou,botega,ithembekile,Kutendeka
2840,udinelukunukunu,zélé,0.0,neutral,Mot,zealous,shisela,ywerig,E fišegago .,ngenzondelelo,Vanoshingairira
2841,udinelukukaluabiuma,cupide,-3.0,negative,Mot,greedy,-hahile,gierig,go timana,ukubawa,makaro
2842,tsjiji,rage/colere,-3.0,negative,Mot,rage/anger,ulaka / intukuthelo,woede/woede,Kgalefo/Kgaletso .,umsindo / umsindo,Rage / kutsamwa
2843,tshuwidi,plenitude,0.0,neutral,Mot,fullness,ukugcwele,volheid,Go tlala .,ukugcwala,kuzara
2844,udinedisanka,bienheureux,3.0,postive,Mot,blessed,-busisekile,geseënd,šegofaditšwe,usikelelekile,Wakakomborerwa
2845,udinedisakidila,reconnaissant,2.0,postive,Mot,grateful,-mnandi,dankbaar,leboga,enombulelo,Kutenda
2846,udinebupole,paisible,3.0,postive,Mot,peaceful,-thulile,vreedsaam,ka khutšo,uxolo,rugare
2847,udinebundu,honteux,-1.0,negative,Mot,ashamed,-jabhile,skaam,jewa ke dihlong,zineentloni,kunyara
2848,udimusungula,Elu,3.0,postive,Mot,Elected,Ekhethwe,Uitverkies,E kgethilwe .,Bonyulwe,Vakasarudzwa
2849,udimupambuke,Perverti,-2.0,negative,Mot,Perverted,Kuhlanekezelwe,Perverse,E kgopamego .,Igqwethekile,Kutsveneswa
2850,udimuitabe,Croyant,0.0,neutral,Mot,Believer,Okhwalwayo,Gelowige,Modumedi .,Ikholwa,Mutendi
2851,udimuenamukonso,medisant,-1.0,negative,Mot,meditating,ukuzwela,mediteer,Go naganišiša .,ukucamngca,kufungisisa
2852,udimudifile,adonné,2.0,postive,Mot,gave,unikele,gegee het,file,unike,akapa
2853,udikayinekudikanda,incontinent,0.0,neutral,Mot,incontinent,-ngavumelani,inkontinent,Go se kgone go itshwara .,ukungasebenzi,zvisingagone
2854,udikayineditekemenakabidi,desesperer,-1.0,negative,Mot,to despair,Ukuphelelwa yithemba,te wanhoop,Go itlhoboga .,Ukuphelelwa lithemba,kupererwa
2855,udikayinebualu,innocent,2.0,postive,Mot,innocent,-msulwa,onskuldig,hloka molato,umsulwa,asina mhosva
2856,udikayimutengula,incircincis,-2.0,negative,Mot,uncircumcised,-ngasokile,onbesnede,E sa bollang .,engalukanga,zvisina kudzingiswa
2857,udikayimushindame,incertaindanssespensées,0.0,neutral,Mot,uncertain in his thoughts,ungaqinisekile emcabangweni wakhe,onseker in sy gedagtes,go se kgonthišege menaganong ya gagwe .,engaqinisekanga kwiingcamango zakhe,zvisina chokwadi mupfungwa dzake
2858,udikayimumanyemukanda,illétré,-3.0,negative,Mot,illiterate,-ngakwazi ukufunda,ongeletterd,Go bala le go ngwala yo a sa tsebego go bala le go ngwala .,ukungafundi,vasingadzoreki
2859,udikayimuakanangane,indigne,0.0,neutral,Mot,unworthy,-ngafanele,onwaardig,Ga e swanelwe ke .,ayifanelekanga,zvisina kukodzera
2860,udikayidisakidila,ingrat,-1.0,negative,Mot,ungrateful,-ngabongi,ondankbaar,Go se be le tebogo .,ngokungathandabuzekiyo,vasingaongi
2861,udikamama,vierge,0.0,neutral,Mot,virgin,intombi egcweleyo,maagd,kgarebe,intombi,mhandara
2862,walumulunene,fameux,0.0,neutral,Mot,famous,-dumile,beroemd,tumile,idume,ane mukurumbira
2863,waluse,misericordieux,5.0,postive,Mot,merciful,isihe,genadig,Kgaugelo ya go ba le kgaugelo .,Inceba,ngoni
2864,wamabue,rocailleux,0.0,neutral,Mot,rocky,namatshe,klipperig,Lefika la lefika .,i-rocky,Dombo
2865,wamuandamukulu,huitieme,0.0,neutral,Mot,eighth,-sishayagalombili,agtste,Boseswai .,Isibhozo,chesere
2866,wamubidi,charnel,0.0,neutral,Mot,carnal,intandane,vleeslik,Nama ya nama .,inyamakazi,Carnal
2867,waNzambi,Religieux,0.0,neutral,Mot,Religious,-Kholiwe,Godsdienstig,Ya sedumedi,Inkolo,Chitendero
2868,watshijila,pur,3.0,postive,Mot,pure,-nalutho,suiwer,hlwekile,icocekile,yakachena
2869,watshijila,saint,3.0,postive,Mot,saint,usanti,heilige,Mokgethwa .,eng,Saint
2870,watshitema,neuvieme,0.0,neutral,Mot,ninth,okwesishiyagalolunye,negende,Senyane .,Isithoba,chepfumbamwe
2871,wende,propre,0.0,neutral,Mot,own,yami,eie,rua,eyakho,ndega
2872,weste,occident,0.0,neutral,Mot,West,Intshonalanga,Wes,Bophirima .,Entshona,Kumadokero
2873,zelubabela,zorobabel,0.0,neutral,Mot,zorobabel,Zorobabel,zorobabel,Zorobabel .,I-zorobabel,zorobabel
2874,kuzenzeka,noter,2.0,postive,Mot,note,incwajana,nota,temošo,Phawula,ONA
2875,tujila,ruelle,0.0,neutral,Mot,alley,umhubhe,stegie,Alley .,i-alley,alley
2876,tshinji,colere,-1.0,negative,Mot,anger,intukuthelo,woede,pefelo,umsindo,kutsamwa
2877,tshiwudi,plenitude,1.0,postive,Mot,fullness,ukugcwele,volheid,Go tlala .,ukugcwala,kuzara
2878,tshiyole,famina,-2.0,negative,Mot,famine,indlala,hongersnood,tlala,indlala,Nzara
2879,tshivulukidi,mémorial,0.0,neutral,Mot,memorial,isivivane,gedenkteken,Segopotšo .,ISikhumbuzo,Chirangaridzo
2880,tshivuangale,varié,-2.0,negative,Mot,varied,-nhlobonhlobo,gevarieerd,E fapa-fapana .,eyahlukileyo,dzakasiyana siyana
2881,tshitueluepu,salé,0.0,neutral,Mot,dirty,-ngcolile,vuil,ditqhila,umdaka,tsvina
2882,tshule,plein,0.0,neutral,Mot,full,-gcwele,vol,tletše,igcwele,izere
2883,tshula,crapeau,0.0,neutral,Mot,toad,iselesele,padda,Toad .,toad,Toad
2884,tshula,grenouille,0.0,neutral,Mot,frog,iselesele,padda,segwagwa,isele,chura
2885,tshitupatshipi,bientôt,0.0,neutral,Mot,Soon,Ngokushesha,Binnekort,Ka pela,Kungekudala,Munguva pfupi
2886,tshitupatshipi,partiel,0.0,neutral,Mot,partial,-khethayo,gedeeltelik,Karolo ya .,inxenye,chidimbu
2887,tshitupatshipi,recement,0.0,neutral,Mot,recently,okusanda kwenzeka,onlangs,gabjale,kutsha nje,nguva pfupi yadarika
2888,tshituilu,camp,0.0,neutral,Mot,camp,khempa,kamp,Kampo ya .,inkampu,musasa
2889,tshituilu,vestibule,0.0,neutral,Mot,vestibule,vestibule,voorportaal,Vestibule .,vestibule,Vestibule
2890,tshituadilutshiatshitalu,morgue,-1.0,negative,Mot,morgue,isimilo,lykshuis,Morgue .,morgue,Morgue
2891,tshitua,tranchant,0.0,neutral,Mot,sharp,-bukhali,skerp,bogale,bukhali,kupinza
2892,tshitshiu,dureté,0.0,neutral,Mot,hardness,ubunzima,hardheid,Go thatafala .,ubunzima,kuomesa
2893,tshitotshi,boue,0.0,neutral,Mot,mud,ibishi,modder,leraga,udaka,matope
2894,tshitoketoke,livide,0.0,neutral,Mot,livid,-bubhegqayela,woedend,Livid .,icacile,lidvid
2895,tshitoke,blanc,2.0,postive,Mot,white,okumhlophe,wit,tšhweu,mhlophe,chena
2896,tshitoke,net,2.0,postive,Mot,net,inethi,net,nete,inethi,net
2897,tshitendelelu,sanctuaire,0.0,neutral,Mot,sanctuary,isiphephelo,heiligdom,Sekgethwa .,ingcwele,SANDA
2898,tshitema,brillant,2.0,postive,Mot,bright,-gqamile,helder,phadimago,iqaqambile,kupenya
2899,tshitema,neuf,0.0,neutral,Mot,nine,isishiyagalolunye,nege,senyane,Thoba,pfumbamwe
2900,tshitekelutshiaminda,chandelier,2.0,postive,Mot,candlestick,ikhandlela,kandelaar,Kerese ya go swara kerese .,Isikhandlela,chigadziko
2901,tshitekelutshiamikolu,marche-pied,8.0,postive,Mot,step,gxatha,stap,kgato,inyathelo,nhanho
2902,tshitapitapi,onguent,3.0,postive,Mot,ointment,okokugcobisa umzimba,salf,Setlolo .,ioyile,oiri
2903,tshitangidilu,theatre,4.0,postive,Mot,theater,ithiyeta,teater,Theatre .,ithiyetha,theatre
2904,tshitambebuimpe,meilleur,3.0,postive,Mot,best,-hle kakhulu,beste,kaonekaone,eyona ilungileyo,zvakanakisa
2905,tshitambala,foularddetete,0.0,neutral,Mot,head scarf,isikhafu sekhanda,kopdoek,Sekhafo sa hlooho .,isikhafu sentloko,Scarf
2906,tshitalale,doux,0.0,neutral,Mot,soft,-potozelayo,sag,boleta,ithambile,nyoro
2907,tshitalale,froid,0.0,neutral,Mot,cold,ukubanda,koud,tonya,kubanda,kutonhora
2908,tshitakutshiabantu,poupe,0.0,neutral,Mot,stern,-zithiba,agterstewe,Selemo sa ka morago .,rhabaxa,STERS
2909,tshitadi,impot,0.0,neutral,Mot,tax,intela,belasting,Lekgetho la lekgetho .,irhafu,mutero
2910,tshisumbu,groupe,0.0,neutral,Mot,band,isibopho,band,lepanta,band,bhendi
2911,tshisumbutshiabantu,population,0.0,neutral,Mot,population,inani labantu,bevolking,setšhaba,Inani labemi,huwandu
2912,tshisumbutshiabantu,amasdepeuple,0.0,neutral,Mot,mass of people,isisindo sabantu,massa mense,Mmisa wa batho .,ubunzima babantu,misa yevanhu
2913,tshisumbutshianyama,troupeau,0.0,neutral,Mot,herd,idanzi,trop,mohlape,umhlambi,Herd
2914,tshisumbutshiamasalayi,cohorte,0.0,neutral,Mot,cohort,cohort,kohort,Sehlopha sa sehlopha .,cohort,cohort
2915,tshisumbutshiamasalayi,legion,0.0,neutral,Verbe,legion,ibutho,legio,Legion .,umkhosi,Legion
2916,tshisumbutshiabenamvita,armée,0.0,neutral,Verbe,army,impi,weermag,sešole,umkhosi,Mauto
2917,tshisumbutshiabantu,atroupement,0.0,neutral,Verbe,crowd,isinyokotho,skare,lešaba,isihlwele,chaunga
2918,tshisumbutshiabanayi,quadriplet,0.0,neutral,Verbe,quadriplet,I-Quadriplet,vierling,Seripa-gare sa quadriplet .,i-quadripyt,quadriplet
2919,tshisumbu,bote,0.0,neutral,Verbe,box,isibhakela,boks,lepokisi,ibhokisi,bhokisi
2920,tshisumbu,compagnie,0.0,neutral,Verbe,company,iviyo,maatskappy,khamphani,inkampani,kambani
2921,tshisumbu,foule,0.0,neutral,Mot,crowd,isinyokotho,skare,lešaba,isihlwele,chaunga
2922,tshisumbu,partiel,0.0,neutral,Mot,partial,-khethayo,gedeeltelik,Karolo ya .,inxenye,chidimbu
2923,tshisumbu,troupeau,0.0,neutral,Mot,herd,idanzi,trop,mohlape,umhlambi,Herd
2924,tshisumikidinkanu,lien,7.0,postive,Mot,link,ulungu lokuthile,skakel,amanya,ikhonkco,chinongedzo
2925,tshisonga,charbon,0.0,neutral,Mot,coal,amalahle,steenkool,malahla,amalahle,marasha
2926,tshisonga,sculpture,5.0,postive,Mot,sculpture,okuqoshwe ngamatshe,beeldhouwerk,Seswantšho sa go betlwa .,umfanekiso oqingqiweyo,sculpture
2927,tshisombedi,siege,5.0,postive,Mot,seat,isihlalo,sitplek,madulo,isihlalo,chigaro
2928,tshishipelu,boucherie,8.0,postive,Mot,butcher's shop,Isitolo se-Butcher's,slaghuis,Lebenkele la Butcher .,Ivenkile ye-butcher,chitoro chebhotera
2929,tshishindama,immobile,6.0,postive,Mot,motionless,-ngahambi,roerloos,Go se šišinyege .,ukungashukumi,kusimuka
2930,tshishimikidi,soutien,6.0,postive,Mot,support,singatha,ondersteun,thekga,inkxaso,Tsigiro
2931,tshishima,miracle,0.0,neutral,Mot,miracle,umlingo,wonderwerk,mohlolo,ummangaliso,chishamiso
2932,tshishikulatshimuenembomboinayinebinunubinayu,144,0.0,neutral,Mot,144,144,144,144 .,I-144,144
2933,tshishika,entierement,-2.0,negative,Mot,entirely,konke,geheel en al,ka botlalo .,ngokupheleleyo,zvachose
2934,tshishi,teigne,6.0,postive,Mot,ringworm,inhloso,ringwurm,Seboko sa Ringworm .,ringworm,Ringurm
2935,tshisenesha,unie,0.0,neutral,Mot,united,-hlangene,verenig,United .,umanyani,United
2936,tshisebatshiakufundila,parchemin/peau,0.0,neutral,Mot,parchment/skin,Isikhumba / Isikhumba,perkament/vel,Letlalo/letlalo .,isikhumba / ulusu,parment / ganda
2937,tshiseba,cuire,0.0,neutral,Mot,cook,pheka,kook,apea,ukupheka,bika
2938,tshisatutshiapa,tiers,7.0,postive,Mot,third party,ilungu langaphandle,derde party,Motho wa boraro .,Iqela lesithathu,wechitatu bato
2939,tshisanji,harpe,7.0,postive,Mot,harp,uhado,harp,HARP .,ihadi,Harp
2940,tshisangisha,melange,0.0,neutral,Mot,blend,xubanisa,versnit,tswakanya,dibanisa,sanganisa
2941,tshisanga,île,0.0,neutral,Mot,island,isiqhingi,eiland,sehlakahlaka,isiqithi,Island
2942,tshisamba,nation,-5.0,negative,Mot,nation,isizwe,nasie,Setšhaba .,isizwe,Rudzi
2943,tshisalu,marché,-8.0,negative,Mot,walk,vakasha,loop,sepela,hamba,famba
2944,tshisaka,pannier,0.0,neutral,Mot,basket,ubhasikidi,mandjie,Seroto .,ibhasikithi,tswanda
2945,tshipupu,orageux,6.0,postive,Mot,stormy,-nesivunguvungu,stormagtig,Sefefo .,ivumba,dutu
2946,tshipupu,peste,-1.0,negative,Mot,plague,inkathazo,plaag,matshwenyego,isibetho,Denda
2947,tshipupu,tourbillon,3.0,postive,Mot,whirlwind,shirlwind,warrelwind,Ledimo la ledimo .,i-whirlwind,chimbudzi
2948,tshipupu,tourment,4.0,postive,Mot,torment,hlupha,pyniging,Tlhokofatšo .,intuthumbo,kutambudzwa
2949,tshipupu,vent,-2.0,negative,Mot,wind,songa,wind,phefo,umoya,mhepo
2950,tshipungidi,aliance,3.0,postive,Mot,alliance,isivumelwano sokubambisana,alliansie,Selekane sa .,umanyano,Alliance
2951,tshipungidi,testament,0.0,neutral,Mot,will,isifiso,sal,tla,iya,kuda
2952,tshipingu,mesure,0.0,neutral,Mot,measure,kala,meet,lekanya,umlinganiso,kuyera
2953,tshipingu,proportion,0.0,neutral,Mot,proportion,ukulinganisa,proporsie,Karolo ya .,umlinganiso,chikamu
2954,tshipimilutshiabulabuamayi,sonde,1.0,postive,Mot,probe,icala lolo munye noma,ondersoek,Probe .,probe,probe
2955,tshipiminutshiabujitu,loi,4.0,postive,Mot,law,umthetho,wet,molao,umthetho,mutemo
2956,tshipiminu,balance,3.0,postive,Mot,balance,ukuzimelela,balans,palantshe,ibhalansi,Balance
2957,tshipia,neuf,0.0,neutral,Mot,nine,isishiyagalolunye,nege,senyane,Thoba,pfumbamwe
